animal,session,trial,reward_magnitude,ITI(ms),reward_outcome,observed_actTime,reward_prob_at_reposne,dot_speed(ms),1=responded,past_reward,past_actTime,deterministic_actTime,1=treatment group
1,1,98,1,3000,1,17,0.9241,300,1,3,15,13,1
1,1,99,2,3000,2,24,0.9975,200,1,1,17,12,1
1,1,100,1,3000,1,15,0.8176,100,1,2,24,14,1
1,1,101,2,3000,0,8,0.1192,300,1,1,15,12,1
1,1,102,2,3000,2,20,0.982,100,1,0,8,10,1
1,1,103,3,3000,3,13,0.6225,300,1,2,20,8,1
1,1,104,2,3000,2,12,0.5,300,1,3,13,11,1
1,1,105,2,3000,0,12,0.5,200,1,2,12,11,1
1,1,106,2,3000,2,15,0.8176,100,1,0,12,14,1
1,1,107,3,3000,3,17,0.9241,100,1,2,15,7,1
1,1,108,1,3000,1,18,0.9526,200,1,3,17,11,1
1,1,109,1,3000,1,17,0.9241,200,1,1,18,11,1
1,1,110,3,3000,0,9,0.1824,300,1,1,17,8,1
1,1,111,1,3000,0,11,0.3775,300,1,0,9,12,1
1,1,112,2,3000,0,8,0.1192,300,1,0,11,10,1
1,1,113,3,3000,0,10,0.2689,300,1,0,8,10,1
1,1,114,3,3000,0,13,0.6225,200,1,0,10,7,1
1,1,115,2,3000,2,13,0.6225,200,1,0,13,7,1
1,1,116,2,3000,0,11,0.3775,100,1,2,13,6,1
1,1,117,1,3000,0,15,0.8176,200,1,0,11,9,1
1,1,118,3,3000,0,10,0.2689,200,1,0,15,6,1
1,1,119,2,3000,2,13,0.6225,300,1,0,10,9,1
1,1,120,1,3000,1,25,0.9985,100,1,2,13,10,1
1,1,121,1,5000,NaN,NaN,NaN,100,0,1,25,13,1
1,1,122,2,5000,2,14,0.7311,200,1,NaN,NaN,9,1
1,1,123,3,5000,0,13,0.6225,200,1,2,14,5,1
1,1,124,2,5000,2,15,0.8176,200,1,0,13,10,1
1,1,125,3,5000,3,9,0.1824,200,1,2,15,5,1
1,1,126,1,5000,0,12,0.5,300,1,3,9,11,1
1,1,127,2,5000,2,17,0.9241,200,1,0,12,9,1
1,1,128,1,5000,1,16,0.8808,100,1,2,17,11,1
1,1,129,1,5000,NaN,NaN,NaN,100,0,1,16,15,1
1,1,130,3,5000,3,14,0.7311,200,1,NaN,NaN,6,1
1,1,131,2,5000,2,19,0.9707,100,1,3,14,9,1
1,1,132,1,5000,NaN,NaN,NaN,300,0,2,19,13,1
1,1,133,3,5000,3,15,0.8176,200,1,NaN,NaN,8,1
1,1,134,1,5000,1,23,0.9959,200,1,3,15,15,1
1,1,135,2,5000,2,17,0.9241,100,1,1,23,11,1
1,1,136,1,5000,1,22,0.9933,200,1,2,17,11,1
1,1,137,1,5000,1,22,0.9933,100,1,1,22,12,1
1,1,138,1,5000,1,29,1,100,1,1,22,13,1
1,1,139,1,5000,1,26,1,100,1,1,29,12,1
1,1,140,1,5000,1,15,0.8176,200,1,1,26,12,1
1,1,141,3,5000,3,24,0.9975,100,1,1,15,12,1
1,1,142,3,5000,3,18,0.9526,200,1,3,24,10,1
1,1,143,1,5000,0,18,0.9526,200,1,3,18,11,1
1,1,144,1,5000,1,12,0.5,300,1,0,18,15,1
1,1,145,3,5000,3,13,0.6225,100,1,1,12,8,1
1,1,146,3,5000,0,10,0.2689,300,1,3,13,9,1
1,1,147,2,5000,2,17,0.9241,100,1,0,10,10,1
1,1,148,1,5000,1,17,0.9241,200,1,2,17,9,1
1,1,149,1,5000,1,17,0.9241,100,1,1,17,12,1
1,1,150,2,5000,0,13,0.6225,200,1,1,17,9,1
1,1,151,2,7000,2,18,0.9526,200,1,0,13,9,1
1,1,152,2,7000,2,21,0.989,100,1,2,18,11,1
1,1,153,3,7000,3,23,0.9959,100,1,2,21,10,1
1,1,154,2,7000,0,10,0.2689,100,1,3,23,9,1
1,1,155,2,7000,0,16,0.8808,200,1,0,10,8,1
1,1,156,2,7000,2,20,0.982,100,1,0,16,8,1
1,1,157,2,7000,2,18,0.9526,200,1,2,20,9,1
1,1,158,2,7000,2,13,0.6225,300,1,2,18,12,1
1,1,159,3,7000,3,18,0.9526,100,1,2,13,8,1
1,1,160,1,7000,NaN,NaN,NaN,200,0,3,18,12,1
1,1,161,3,7000,0,10,0.2689,200,1,NaN,NaN,8,1
1,1,162,3,7000,0,12,0.5,300,1,0,10,12,1
1,1,163,2,7000,2,11,0.3775,200,1,0,12,8,1
1,1,164,2,7000,2,13,0.6225,200,1,2,11,10,1
1,1,165,3,7000,3,20,0.982,300,1,2,13,9,1
1,1,166,3,7000,0,18,0.9526,200,1,3,20,9,1
1,1,167,1,7000,NaN,NaN,NaN,300,0,0,18,19,1
1,1,168,3,7000,3,17,0.9241,300,1,NaN,NaN,12,1
1,1,169,2,7000,2,26,1,300,1,3,17,18,1
1,1,170,3,7000,3,18,0.9526,200,1,2,26,15,1
1,1,171,3,7000,3,14,0.7311,200,1,3,18,11,1
1,1,172,2,7000,0,12,0.5,300,1,3,14,13,1
1,1,173,1,7000,NaN,NaN,NaN,100,0,0,12,15,1
1,1,174,1,7000,NaN,NaN,NaN,300,0,NaN,NaN,19,1
1,1,175,2,7000,NaN,NaN,NaN,200,0,NaN,NaN,18,1
1,1,176,1,7000,NaN,NaN,NaN,100,0,NaN,NaN,40,1
1,1,177,1,7000,NaN,NaN,NaN,200,0,NaN,NaN,22,1
1,1,178,1,7000,NaN,NaN,NaN,300,0,NaN,NaN,18,1
1,1,179,3,7000,3,26,1,200,1,NaN,NaN,15,1
1,1,180,1,7000,1,17,0.9241,200,1,3,26,18,1
1,1,181,1,5000,1,20,0.982,300,1,1,17,16,1
1,1,182,2,5000,2,14,0.7311,300,1,1,20,12,1
1,1,183,2,5000,2,26,1,200,1,2,14,18,1
1,1,184,1,5000,1,24,0.9975,100,1,2,26,24,1
1,1,185,3,5000,0,10,0.2689,300,1,1,24,14,1
1,1,186,3,5000,3,16,0.8808,100,1,0,10,13,1
1,1,187,3,5000,3,16,0.8808,100,1,3,16,13,1
1,1,188,1,5000,1,22,0.9933,300,1,3,16,18,1
1,1,189,3,5000,3,17,0.9241,300,1,1,22,12,1
