monkey,reward_magnitude,ITI(ms),reward_outcome,observed_actTime,reward_prob_at_response,dot_speed,1=responded,past_reward,past_actTime,1=poor_environment
1,2,7000,2,14,0.7311,200,1,2,15,2
1,2,5000,0,9,0.1824,200,1,3,16,2
1,2,5000,2,13,0.6225,200,1,2,17,2
1,2,5000,2,12,0.5,200,1,0,12,2
1,2,5000,2,12,0.5,200,1,1,12,2
1,2,5000,0,12,0.5,200,1,3,21,2
1,2,5000,0,10,0.2689,200,1,2,12,2
1,2,7000,2,14,0.7311,200,1,2,16,2
1,2,5000,2,12,0.5,200,1,0,16,2
1,2,5000,2,12,0.5,200,1,2,13,2
1,2,3000,0,10,0.2689,200,1,3,16,2
1,2,3000,2,13,0.6225,200,1,0,9,2
1,2,3000,0,12,0.5,200,1,3,14,2
1,2,3000,0,12,0.5,200,1,0,15,2
1,2,3000,2,11,0.3775,200,1,0,9,2
1,2,3000,2,11,0.3775,200,1,0,12,2
1,2,3000,0,12,0.5,200,1,3,14,2
1,2,5000,2,14,0.7311,200,1,2,13,2
1,2,5000,0,17,0.9241,200,1,0,7,2
1,2,5000,0,10,0.2689,200,1,1,19,2
1,2,7000,0,9,0.1824,200,1,3,14,2
1,2,7000,2,15,0.8176,200,1,0,14,2
1,2,7000,2,14,0.7311,200,1,0,9,2
1,2,3000,2,14,0.7311,200,1,1,16,2
1,2,3000,2,12,0.5,200,1,3,17,2
1,2,3000,0,11,0.3775,200,1,3,18,2
1,2,3000,0,9,0.1824,200,1,0,9,2
1,2,3000,2,14,0.7311,200,1,0,9,2
1,2,3000,0,12,0.5,200,1,3,15,2
1,2,5000,0,9,0.1824,200,1,0,11,2
1,2,5000,2,14,0.7311,200,1,0,11,2
1,2,5000,0,11,0.3775,200,1,1,17,2
1,2,5000,2,13,0.6225,200,1,1,16,2
1,2,5000,0,12,0.5,200,1,3,21,2
1,2,5000,0,9,0.1824,200,1,0,12,2
1,2,3000,0,13,0.6225,200,1,2,25,2
1,2,7000,2,17,0.9241,200,1,3,24,2
1,2,7000,2,17,0.9241,200,1,2,20,2
1,2,7000,2,19,0.9707,200,1,2,19,2
1,2,5000,2,18,0.9526,200,1,2,13,2
1,2,5000,2,16,0.8808,200,1,3,18,2
1,2,3000,0,13,0.6225,200,1,3,25,2
1,2,3000,2,13,0.6225,200,1,3,26,2
1,2,3000,2,14,0.7311,200,1,3,21,2
1,2,7000,NaN,NaN,NaN,200,0,NaN,NaN,2
1,2,7000,NaN,NaN,NaN,200,0,NaN,NaN,2
1,2,7000,NaN,NaN,NaN,200,0,NaN,NaN,2
1,2,7000,2,14,0.7311,200,1,1,25,2
1,2,5000,2,15,0.8176,200,1,3,20,2
1,2,3000,0,11,0.3775,200,1,2,13,2
1,2,3000,0,8,0.1192,200,1,2,13,2
1,2,3000,2,11,0.3775,200,1,0,8,2
1,2,3000,2,12,0.5,200,1,0,13,2
1,2,3000,0,13,0.6225,200,1,3,17,2
1,2,7000,2,15,0.8176,200,1,0,14,2
1,2,7000,2,18,0.9526,200,1,0,18,2
1,2,7000,2,16,0.8808,200,1,3,13,2
1,2,7000,2,15,0.8176,200,1,0,13,2
1,2,5000,0,15,0.8176,200,1,0,13,2
1,2,5000,2,13,0.6225,200,1,2,18,2
1,2,5000,2,16,0.8808,200,1,2,22,2
1,2,7000,2,19,0.9707,200,1,0,14,2
1,2,7000,2,16,0.8808,200,1,1,24,2
1,2,5000,0,12,0.5,200,1,0,12,2
1,2,5000,2,11,0.3775,200,1,0,12,2
1,2,5000,2,13,0.6225,200,1,1,23,2
1,2,5000,NaN,NaN,NaN,200,0,3,13,2
1,2,3000,2,14,0.7311,200,1,3,22,2
1,2,3000,0,10,0.2689,200,1,3,12,2
1,2,3000,2,15,0.8176,200,1,3,18,2
1,2,3000,0,13,0.6225,200,1,0,10,2
1,2,7000,0,25,0.9985,200,1,0,19,2
1,2,7000,2,15,0.8176,200,1,1,16,2
1,2,7000,2,13,0.6225,200,1,2,15,2
1,2,7000,2,11,0.3775,200,1,3,17,2
1,2,7000,0,11,0.3775,200,1,2,11,2
1,2,5000,2,15,0.8176,200,1,0,12,2
1,2,5000,2,15,0.8176,200,1,3,11,2
1,2,5000,2,18,0.9526,200,1,1,11,2
1,2,3000,0,13,0.6225,200,1,3,18,2
1,2,3000,0,15,0.8176,200,1,1,12,2
1,2,3000,0,10,0.2689,200,1,2,17,2
1,2,3000,0,15,0.8176,200,1,0,10,2
1,2,7000,0,13,0.6225,200,1,3,23,2
1,2,7000,2,14,0.7311,200,1,1,20,2
1,2,7000,2,14,0.7311,200,1,2,26,2
1,2,7000,0,11,0.3775,200,1,2,14,2
1,2,5000,0,18,0.9526,200,1,1,20,2
1,2,5000,0,15,0.8176,200,1,3,15,2
1,2,7000,2,15,0.8176,200,1,0,12,2
1,2,7000,2,17,0.9241,200,1,2,15,2
1,2,7000,0,16,0.8808,200,1,1,20,2
1,2,5000,0,12,0.5,200,1,2,10,2
1,2,5000,0,15,0.8176,200,1,0,11,2
1,2,5000,2,15,0.8176,200,1,2,17,2
1,2,5000,2,14,0.7311,200,1,3,18,2
1,2,5000,0,14,0.7311,200,1,3,18,2
1,2,5000,2,15,0.8176,200,1,0,14,2
1,2,3000,0,12,0.5,200,1,3,15,2
1,2,3000,2,13,0.6225,200,1,3,19,2
1,2,3000,2,13,0.6225,200,1,2,13,2
1,2,3000,0,13,0.6225,200,1,3,19,2
1,2,5000,0,13,0.6225,200,1,3,19,2
1,2,5000,2,12,0.5,200,1,3,12,2
1,2,3000,2,14,0.7311,200,1,3,21,2
1,2,3000,2,20,0.982,200,1,1,19,2
1,2,3000,0,12,0.5,200,1,2,13,2
1,2,3000,2,12,0.5,200,1,3,17,2
1,2,7000,2,20,0.982,200,1,2,21,2
1,2,7000,2,20,0.982,200,1,2,20,2
1,2,7000,2,21,0.989,200,1,NaN,NaN,2
1,2,7000,NaN,NaN,NaN,200,0,NaN,NaN,2
1,2,7000,2,14,0.7311,200,1,0,12,2
1,2,3000,0,12,0.5,200,1,0,13,2
1,2,3000,2,13,0.6225,200,1,3,14,2
1,2,3000,2,16,0.8808,200,1,0,11,2
1,2,3000,0,10,0.2689,200,1,0,8,2
1,2,3000,0,11,0.3775,200,1,0,13,2
1,2,5000,0,16,0.8808,200,1,1,15,2
1,2,5000,0,10,0.2689,200,1,0,15,2
1,2,5000,2,12,0.5,200,1,2,15,2
1,2,5000,0,11,0.3775,200,1,2,12,2
1,2,5000,2,12,0.5,200,1,3,18,2
1,2,7000,0,11,0.3775,200,1,0,15,2
1,2,7000,0,12,0.5,200,1,3,13,2
1,2,7000,0,9,0.1824,200,1,NaN,NaN,2
1,2,7000,0,11,0.3775,200,1,3,18,2
1,2,7000,2,15,0.8176,200,1,3,16,2
1,2,7000,2,14,0.7311,200,1,3,18,2
1,2,3000,2,16,0.8808,200,1,1,15,2
1,2,3000,2,17,0.9241,200,1,2,11,2
1,2,5000,2,11,0.3775,200,1,2,16,2
1,2,5000,2,15,0.8176,200,1,0,10,2
1,2,5000,0,12,0.5,200,1,0,14,2
1,2,5000,0,13,0.6225,200,1,0,13,2
1,2,7000,2,16,0.8808,200,1,3,11,2
1,2,7000,2,13,0.6225,200,1,1,18,2
1,2,7000,2,14,0.7311,200,1,2,13,2
1,2,7000,0,13,0.6225,200,1,3,13,2
1,2,7000,2,15,0.8176,200,1,0,13,2
1,2,7000,2,13,0.6225,200,1,3,13,2
1,2,7000,0,14,0.7311,200,1,1,13,2
1,2,3000,2,16,0.8808,200,1,1,21,2
1,2,3000,2,15,0.8176,200,1,3,20,2
1,2,7000,2,16,0.8808,200,1,1,22,2
1,2,7000,2,18,0.9526,200,1,2,16,2
1,2,7000,2,19,0.9707,200,1,2,18,2
1,2,7000,2,18,0.9526,200,1,0,19,2
1,2,7000,2,16,0.8808,200,1,1,28,2
1,2,5000,2,17,0.9241,200,1,2,19,2
1,2,5000,0,13,0.6225,200,1,1,13,2
1,2,3000,2,16,0.8808,200,1,2,22,2
1,2,3000,0,12,0.5,200,1,2,15,2
1,2,3000,0,11,0.3775,200,1,3,13,2
1,2,7000,0,14,0.7311,200,1,3,13,2
1,2,7000,2,14,0.7311,200,1,2,20,2
1,2,7000,2,13,0.6225,200,1,1,19,2
1,2,7000,0,11,0.3775,200,1,2,13,2
1,2,7000,0,14,0.7311,200,1,3,16,2
1,2,5000,2,13,0.6225,200,1,0,16,2
1,2,3000,2,12,0.5,200,1,3,18,2
1,2,3000,0,13,0.6225,200,1,3,11,2
1,2,3000,2,13,0.6225,200,1,1,16,2
1,2,5000,0,14,0.7311,200,1,0,16,2
1,2,5000,2,17,0.9241,200,1,1,24,2
1,2,5000,0,10,0.2689,200,1,3,17,2
1,2,5000,2,17,0.9241,200,1,3,14,2
1,2,5000,2,13,0.6225,200,1,3,28,2
1,2,7000,2,14,0.7311,200,1,3,20,2
1,2,7000,2,23,0.9959,200,1,NaN,NaN,2
1,2,7000,2,14,0.7311,200,1,2,27,2
2,2,3000,2,13,0.6225,200,1,NaN,NaN,1
2,2,7000,2,8,0.1192,200,1,3,13,1
2,2,7000,2,13,0.6225,200,1,0,9,1
2,2,5000,2,13,0.6225,200,1,2,11,1
2,2,5000,0,11,0.3775,200,1,NaN,NaN,1
2,2,5000,NaN,NaN,NaN,200,0,0,11,1
2,2,5000,2,15,0.8176,200,1,0,12,1
2,2,5000,2,14,0.7311,200,1,3,24,1
2,2,5000,2,12,0.5,200,1,NaN,NaN,1
2,2,7000,2,22,0.9933,200,1,0,3,1
2,2,7000,0,6,0.0474,200,1,2,11,1
2,2,7000,2,15,0.8176,200,1,0,6,1
2,2,3000,0,4,0.018,200,1,2,16,1
2,2,3000,2,12,0.5,200,1,0,11,1
2,2,3000,0,14,0.7311,200,1,NaN,NaN,1
2,2,3000,0,5,0.0293,200,1,3,16,1
2,2,3000,0,10,0.2689,200,1,0,5,1
2,2,3000,0,5,0.0293,200,1,0,12,1
2,2,3000,2,8,0.1192,200,1,3,11,1
2,2,3000,0,6,0.0474,200,1,3,9,1
2,2,3000,0,4,0.018,200,1,0,7,1
2,2,3000,0,9,0.1824,200,1,1,20,1
2,2,5000,0,9,0.1824,200,1,0,4,1
2,2,5000,0,10,0.2689,200,1,3,24,1
2,2,3000,2,19,0.9707,200,1,0,23,1
2,2,3000,NaN,NaN,NaN,200,0,NaN,NaN,1
2,2,3000,NaN,NaN,NaN,200,0,NaN,NaN,1
2,2,3000,NaN,NaN,NaN,200,0,NaN,NaN,1
2,2,7000,NaN,NaN,NaN,200,0,NaN,NaN,1
2,2,7000,NaN,NaN,NaN,200,0,NaN,NaN,1
